Company,Website,Video,Logo,Major Hex,Minor Hex,First #1,Last #1,Email #1,First #2,Last #2,Email #2,First #3,Last #3,Email #3,"TEMPLATE
",Landing Page URL,,,,,
Raytheon Company,raytheon.com,,http://bakerhughes.com/assets/site/logo-4d1d4d05ee8eeb3014d7091760dca482.png,,,,,,,,,,,,,http://forgescan.github.io/web/Raytheon%20Company/Raytheon%20Company.html,,,,,
"Staples, Inc.",staples.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Staples,%20Inc./Staples,%20Inc..html",,,,,
EMC Corporation,emc.com,,http://twc.com/content/dam/residential/images/global/ge-header/twc-enjoy-better-logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/EMC%20Corporation/EMC%20Corporation.html,,,,,
Eli Lilly and Company,lilly.com,,http://up.com/graphics/uprr/responsive/global/print-logo.jpg,,,,,,,,,,,,,http://forgescan.github.io/web/Eli%20Lilly%20and%20Company/Eli%20Lilly%20and%20Company.html,,,,,
Alcoa Inc.,alcoa.com,,http://prod2.dam.abbott.com/global/logos/logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/Alcoa%20Inc./Alcoa%20Inc..html,,,,,
"National Oilwell Varco, Inc.",nov.com,,https://www.accounts.xerox.com/auth/logout.jsf?locale=en_US,,,,,,,,,,,,,"http://forgescan.github.io/web/National%20Oilwell%20Varco,%20Inc./National%20Oilwell%20Varco,%20Inc..html",,,,,
Baker Hughes Incorporated,bakerhughes.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Baker%20Hughes%20Incorporated/Baker%20Hughes%20Incorporated.html,,,,,
"US Foods, Inc.",usfoods.com,,http://www.kimberly-clark.com/images/logo.png,,,,,,,,,,,,,"http://forgescan.github.io/web/US%20Foods,%20Inc./US%20Foods,%20Inc..html",,,,,
Time Warner Cable Inc.,twc.com,,http://usbank.com/images/comp_1_logo-usbank-siteheader.png,,,,,,,,,,,,,http://forgescan.github.io/web/Time%20Warner%20Cable%20Inc./Time%20Warner%20Cable%20Inc..html,,,,,
Union Pacific Corporation,up.com,,USAA.ec.logon.HandleLogonSubmit,,,,,,,,,,,,,http://forgescan.github.io/web/Union%20Pacific%20Corporation/Union%20Pacific%20Corporation.html,,,,,
Abbott Laboratories,abbott.com,,art/logo.gif,,,,,,,,,,,,,http://forgescan.github.io/web/Abbott%20Laboratories/Abbott%20Laboratories.html,,,,,
Xerox Corporation,xerox.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Xerox%20Corporation/Xerox%20Corporation.html,,,,,
"Arrow Electronics, Inc",arrow.com,,http://manpowergroup.com/wps/wcm/connect/61979630-c025-4f8c-bc9e-def394ed62e3/logo-manpower-group-500.png?MOD=AJPERES&amp;CACHEID=61979630-c025-4f8c-bc9e-def394ed62e3,,,,,,,,,,,,,"http://forgescan.github.io/web/Arrow%20Electronics,%20Inc/Arrow%20Electronics,%20Inc.html",,,,,
Kimberly-Clark Corporation,kimberly-clark.com,,http://www.hollyfrontier.com/files/images/sticky_logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/Kimberly-Clark%20Corporation/Kimberly-Clark%20Corporation.html,,,,,
U.S. Bancorp,usbank.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/U.S.%20Bancorp/U.S.%20Bancorp.html,,,,,
United Services Automobile Association,usaa.com,,http://goodyear.com/images/uikit/goodyear-logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/United%20Services%20Automobile%20Association/United%20Services%20Automobile%20Association.html,,,,,
Freeport-McMoRan Copper & Gold Inc.,fcx.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Freeport-McMoRan%20Copper%20&%20Gold%20Inc./Freeport-McMoRan%20Copper%20&%20Gold%20Inc..html,,,,,
Icahn Enterprises L.P.,ielp.com,,http://danaher.com/sites/all/themes/omega/danaher/images/logo.svg,,,,,,,,,,,,,http://forgescan.github.io/web/Icahn%20Enterprises%20L.P./Icahn%20Enterprises%20L.P..html,,,,,
ManpowerGroup Inc.,manpowergroup.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/ManpowerGroup%20Inc./ManpowerGroup%20Inc..html,,,,,
HollyFrontier Corporation,hollyfrontier.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/HollyFrontier%20Corporation/HollyFrontier%20Corporation.html,,,,,
Global Partners LP,globalp.com,,http://abbvie.com/content/dam/abbviecorp/icons/logo_abbvie.png,,,,,,,,,,,,,http://forgescan.github.io/web/Global%20Partners%20LP/Global%20Partners%20LP.html,,,,,
The Goodyear Tire & Rubber Company,goodyear.com,,http://becbbf6ed66b5ea3547b-943ad49fa0bf56534d6539e94192646e.r26.cf5.rackcdn.com/wp-content/uploads/logo_whirlpoolcorporation.png,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Goodyear%20Tire%20&%20Rubber%20Company/The%20Goodyear%20Tire%20&%20Rubber%20Company.html,,,,,
PBF Energy Inc.,"www,pbfenergy.com",,None,,,,,,,,,,,,,http://forgescan.github.io/web/PBF%20Energy%20Inc./PBF%20Energy%20Inc..html,,,,,
Danaher Corporation,danaher.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Danaher%20Corporation/Danaher%20Corporation.html,,,,,
Nucor Corporation,nucor.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Nucor%20Corporation/Nucor%20Corporation.html,,,,,
Kohl's Corporation,kohlscorporation.com,,https://www.progressive.com/content/images/DomainProgressive/logo/logo-progressive.png;pvee649a3ffcbc9c74,,,,,,,,,,,,,http://forgescan.github.io/web/Kohl's%20Corporation/Kohl's%20Corporation.html,,,,,
AbbVie Inc.,abbvie.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/AbbVie%20Inc./AbbVie%20Inc..html,,,,,
Whirlpool Corporation,whirlpoolcorp.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Whirlpool%20Corporation/Whirlpool%20Corporation.html,,,,,
Amgen Inc.,amgen.com,,http://www.southwest.com/assets/images/logos/southwest_logo_600x315.png,,,,,,,,,,,,,http://forgescan.github.io/web/Amgen%20Inc./Amgen%20Inc..html,,,,,
"Jabil Circuit, Inc.",jabil.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Jabil%20Circuit,%20Inc./Jabil%20Circuit,%20Inc..html",,,,,
"Kraft Foods Group, Inc.",kraftfoodsgroup.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Kraft%20Foods%20Group,%20Inc./Kraft%20Foods%20Group,%20Inc..html",,,,,
The Progressive Corporation,progressive.com,,http://chk.com/style library/img/logo-small.png,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Progressive%20Corporation/The%20Progressive%20Corporation.html,,,,,
"CenturyLink, Inc.",centurylink.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/CenturyLink,%20Inc./CenturyLink,%20Inc..html",,,,,
"General Mills, Inc.",generalmills.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/General%20Mills,%20Inc./General%20Mills,%20Inc..html",,,,,
Southwest Airlines Co.,southwest.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Southwest%20Airlines%20Co./Southwest%20Airlines%20Co..html,,,,,
"Altria Group, Inc.",altria.com,,http://colgatepalmolive.com/Colgate/Common/homepagev3/images/logos/globie.png,,,,,,,,,,,,,"http://forgescan.github.io/web/Altria%20Group,%20Inc./Altria%20Group,%20Inc..html",,,,,
"AutoNation, Inc.",autonation.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/AutoNation,%20Inc./AutoNation,%20Inc..html",,,,,
Chesapeake Energy Corporation,chk.com,,http://paccar.com/img/logo_paccar.png,,,,,,,,,,,,,http://forgescan.github.io/web/Chesapeake%20Energy%20Corporation/Chesapeake%20Energy%20Corporation.html,,,,,
Dollar General Corporation,dollargeneral.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Dollar%20General%20Corporation/Dollar%20General%20Corporation.html,,,,,
TRW Automotive Holdings Corp.,trw.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/TRW%20Automotive%20Holdings%20Corp./TRW%20Automotive%20Holdings%20Corp..html,,,,,
United States Steel Corporation,ussteel.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/United%20States%20Steel%20Corporation/United%20States%20Steel%20Corporation.html,,,,,
Colgate-Palmolive Company,colgatepalmolive.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Colgate-Palmolive%20Company/Colgate-Palmolive%20Company.html,,,,,
Cummins Inc.,cummins.com,,AES and the AES logo are trademarks of The AES Corporation.None,,,,,,,,,,,,,http://forgescan.github.io/web/Cummins%20Inc./Cummins%20Inc..html,,,,,
PACCAR Inc,paccar.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/PACCAR%20Inc/PACCAR%20Inc.html,,,,,
The Southern Company,southerncompany.com,,http://lear.com/assets/images/logo.gif,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Southern%20Company/The%20Southern%20Company.html,,,,,
Illinois Tool Works Inc.,itw.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Illinois%20Tool%20Works%20Inc./Illinois%20Tool%20Works%20Inc..html,,,,,
"The PNC Financial Services Group, Inc.",pnc.com,,http://apachecorp.com/resources/Skins/ApacheCorp/Layouts/Apache Website Page/Files/Images/Apache-logo.png,,,,,,,,,,,,,"http://forgescan.github.io/web/The%20PNC%20Financial%20Services%20Group,%20Inc./The%20PNC%20Financial%20Services%20Group,%20Inc..html",,,,,
"Medtronic, Inc.",medtronic.com,,http://www.ebayinc.com/sites/default/files/logo.png,,,,,,,,,,,,,"http://forgescan.github.io/web/Medtronic,%20Inc./Medtronic,%20Inc..html",,,,,
The AES Corporation,aes.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/The%20AES%20Corporation/The%20AES%20Corporation.html,,,,,
Murphy USA Inc.,corporate.murphyusa.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Murphy%20USA%20Inc./Murphy%20USA%20Inc..html,,,,,
Bristol-Myers Squibb Company,bms.com,,http://pge.com/resources/images/an_c6-social-media/icon-twitter-logo.jpg,,,,,,,,,,,,,http://forgescan.github.io/web/Bristol-Myers%20Squibb%20Company/Bristol-Myers%20Squibb%20Company.html,,,,,
Lear Corporation,lear.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Lear%20Corporation/Lear%20Corporation.html,,,,,
"The Gap, Inc.",gapinc.com,,http://csc.com//assets1.csc.com/home/images/logo.png,,,,,,,,,,,,,"http://forgescan.github.io/web/The%20Gap,%20Inc./The%20Gap,%20Inc..html",,,,,
Apache Corporation,apachecorp.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Apache%20Corporation/Apache%20Corporation.html,,,,,
eBay Inc.,ebayinc.com,,http://westerndigital.com/global/images/logos/wdlogo395.jpg,,,,,,,,,,,,,http://forgescan.github.io/web/eBay%20Inc./eBay%20Inc..html,,,,,
The Bank of New York Mellon Corporation,bnymellon.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Bank%20of%20New%20York%20Mellon%20Corporation/The%20Bank%20of%20New%20York%20Mellon%20Corporation.html,,,,,
CBS Corporation,cbscorporation.com,,http://baxter.com/_img/baxter-logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/CBS%20Corporation/CBS%20Corporation.html,,,,,
PG&E Corporation,pge.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/PG&E%20Corporation/PG&E%20Corporation.html,,,,,
"ConAgra Foods, Inc.",conagrafoods.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/ConAgra%20Foods,%20Inc./ConAgra%20Foods,%20Inc..html",,,,,
Computer Sciences Corporation,csc.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Computer%20Sciences%20Corporation/Computer%20Sciences%20Corporation.html,,,,,
"American Electric Power Company, Inc.",aep.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/American%20Electric%20Power%20Company,%20Inc./American%20Electric%20Power%20Company,%20Inc..html",,,,,
Western Digital Corporation,westerndigital.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Western%20Digital%20Corporation/Western%20Digital%20Corporation.html,,,,,
Marathon Oil Corporation,marathonoil.com,,http://firstenergycorp.com/content/dam/opcologos/FE-logo-w-padding-6.png,,,,,,,,,,,,,http://forgescan.github.io/web/Marathon%20Oil%20Corporation/Marathon%20Oil%20Corporation.html,,,,,
Baxter International Inc.,baxter.com,,http:///static/images/global/logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/Baxter%20International%20Inc./Baxter%20International%20Inc..html,,,,,
"PPG Industries, Inc.",ppg.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/PPG%20Industries,%20Inc./PPG%20Industries,%20Inc..html",,,,,
"NextEra Energy, Inc.",nexteraenergy.com,,.logo-kelloggs {None,,,,,,,,,,,,,"http://forgescan.github.io/web/NextEra%20Energy,%20Inc./NextEra%20Energy,%20Inc..html",,,,,
"Community Health Systems, Inc.",chs.net,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Community%20Health%20Systems,%20Inc./Community%20Health%20Systems,%20Inc..html",,,,,
Loews Corporation,loews.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Loews%20Corporation/Loews%20Corporation.html,,,,,
"Penske Automotive Group, Inc.",penskeautomotive.com,,http://anadarko.com/images/apc/logo.svg,,,,,,,,,,,,,"http://forgescan.github.io/web/Penske%20Automotive%20Group,%20Inc./Penske%20Automotive%20Group,%20Inc..html",,,,,
FirstEnergy Corp.,firstenergycorp.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/FirstEnergy%20Corp./FirstEnergy%20Corp..html,,,,,
Starbucks Corporation,starbucks.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Starbucks%20Corporation/Starbucks%20Corporation.html,,,,,
Monsanto Company,monsanto.com,,imgwgc/napa_logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/Monsanto%20Company/Monsanto%20Company.html,,,,,
Kellogg Company,kelloggcompany.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Kellogg%20Company/Kellogg%20Company.html,,,,,
"Land O'Lakes, Inc.",landolakesinc.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Land%20O'Lakes,%20Inc./Land%20O'Lakes,%20Inc..html",,,,,
"ONEOK, Inc.",oneok.com,,http://chubb.com/common/images/img_chubb_logo.gif,,,,,,,,,,,,,"http://forgescan.github.io/web/ONEOK,%20Inc./ONEOK,%20Inc..html",,,,,
Omnicom Group Inc.,omnicomgroup.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Omnicom%20Group%20Inc./Omnicom%20Group%20Inc..html,,,,,
Anadarko Petroleum Corporation,anadarko.com,,http://viacom.com/sitecollectionimages/viacom_logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/Anadarko%20Petroleum%20Corporation/Anadarko%20Petroleum%20Corporation.html,,,,,
"EOG Resources, Inc.",eogresources.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/EOG%20Resources,%20Inc./EOG%20Resources,%20Inc..html",,,,,
DISH Network Corporation,dish.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/DISH%20Network%20Corporation/DISH%20Network%20Corporation.html,,,,,
Genuine Parts Company,genpt.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Genuine%20Parts%20Company/Genuine%20Parts%20Company.html,,,,,
"Kinder Morgan, Inc.",kindermorgan.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Kinder%20Morgan,%20Inc./Kinder%20Morgan,%20Inc..html",,,,,
"Waste Management, Inc.",wm.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Waste%20Management,%20Inc./Waste%20Management,%20Inc..html",,,,,
The Chubb Corporation,chubb.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Chubb%20Corporation/The%20Chubb%20Corporation.html,,,,,
Aramark Holdings Corporation,aramark.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Aramark%20Holdings%20Corporation/Aramark%20Holdings%20Corporation.html,,,,,
Viacom Inc.,viacom.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Viacom%20Inc./Viacom%20Inc..html,,,,,
Las Vegas Sands Corp.,sands.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Las%20Vegas%20Sands%20Corp./Las%20Vegas%20Sands%20Corp..html,,,,,
"Dominion Resources, Inc.",dom.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Dominion%20Resources,%20Inc./Dominion%20Resources,%20Inc..html",,,,,
Ecolab Inc.,ecolab.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Ecolab%20Inc./Ecolab%20Inc..html,,,,,
"Smithfield Foods, Inc.",smithfieldfoods.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Smithfield%20Foods,%20Inc./Smithfield%20Foods,%20Inc..html",,,,,
Thermo Fisher Scientific Inc.,thermofisher.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Thermo%20Fisher%20Scientific%20Inc./Thermo%20Fisher%20Scientific%20Inc..html,,,,,
"Yum! Brands, Inc.",yum.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Yum!%20Brands,%20Inc./Yum!%20Brands,%20Inc..html",,,,,
Parker-Hannifin Corporation,parker.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Parker-Hannifin%20Corporation/Parker-Hannifin%20Corporation.html,,,,,
"Whole Foods Market, Inc.",wholefoodsmarket.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Whole%20Foods%20Market,%20Inc./Whole%20Foods%20Market,%20Inc..html",,,,,
"Marriott International, Inc.",marriott.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Marriott%20International,%20Inc./Marriott%20International,%20Inc..html",,,,,
"C. H. Robinson Worldwide, Inc.",chrobinson.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/C.%20H.%20Robinson%20Worldwide,%20Inc./C.%20H.%20Robinson%20Worldwide,%20Inc..html",,,,,
"L-3 Communications Holdings, Inc.",l-3com.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/L-3%20Communications%20Holdings,%20Inc./L-3%20Communications%20Holdings,%20Inc..html",,,,,
Edison International,edisoninvestor.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Edison%20International/Edison%20International.html,,,,,
"Toys ""R"" Us, Inc.",toysrusinc.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Toys%20""R""%20Us,%20Inc./Toys%20""R""%20Us,%20Inc..html",,,,,
"Nordstrom, Inc.",nordstrom.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Nordstrom,%20Inc./Nordstrom,%20Inc..html",,,,,
"Consolidated Edison, Inc.",conedison.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Consolidated%20Edison,%20Inc./Consolidated%20Edison,%20Inc..html",,,,,
"Marsh & McLennan Companies, Inc.",mmc.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Marsh%20&%20McLennan%20Companies,%20Inc./Marsh%20&%20McLennan%20Companies,%20Inc..html",,,,,
Texas Instruments Incorporated,ti.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Texas%20Instruments%20Incorporated/Texas%20Instruments%20Incorporated.html,,,,,
Textron Inc.,textron.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Textron%20Inc./Textron%20Inc..html,,,,,
Tenet Healthcare Corporation,tenethealth.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Tenet%20Healthcare%20Corporation/Tenet%20Healthcare%20Corporation.html,,,,,
DaVita HealthCare Partners Inc.,davita.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/DaVita%20HealthCare%20Partners%20Inc./DaVita%20HealthCare%20Partners%20Inc..html,,,,,
CSX Corporation,csx.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/CSX%20Corporation/CSX%20Corporation.html,,,,,
Lincoln National Corporation,lfg.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Lincoln%20National%20Corporation/Lincoln%20National%20Corporation.html,,,,,
"Praxair, Inc.",praxair.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Praxair,%20Inc./Praxair,%20Inc..html",,,,,
PPL Corporation,pplweb.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/PPL%20Corporation/PPL%20Corporation.html,,,,,
"J.C. Penney Company, Inc.",jcpenney.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/J.C.%20Penney%20Company,%20Inc./J.C.%20Penney%20Company,%20Inc..html",,,,,
"Peter Kiewit Sons', Inc.",kiewit.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Peter%20Kiewit%20Sons',%20Inc./Peter%20Kiewit%20Sons',%20Inc..html",,,,,
Jacobs Engineering Group Inc.,jacobs.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Jacobs%20Engineering%20Group%20Inc./Jacobs%20Engineering%20Group%20Inc..html,,,,,
Visa Inc.,corporate.visa.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Visa%20Inc./Visa%20Inc..html,,,,,
H.J. Heinz Company,heinz.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/H.J.%20Heinz%20Company/H.J.%20Heinz%20Company.html,,,,,
"CarMax, Inc.",carmax.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/CarMax,%20Inc./CarMax,%20Inc..html",,,,,
V.F. Corporation,vfc.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/V.F.%20Corporation/V.F.%20Corporation.html,,,,,
Entergy Corporation,entergy.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Entergy%20Corporation/Entergy%20Corporation.html,,,,,
"Automatic Data Processing, Inc.",adp.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Automatic%20Data%20Processing,%20Inc./Automatic%20Data%20Processing,%20Inc..html",,,,,
"NRG Energy, Inc.",nrgenergy.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/NRG%20Energy,%20Inc./NRG%20Energy,%20Inc..html",,,,,
Guardian Life Ins. Co. of America,guardianlife.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Guardian%20Life%20Ins.%20Co.%20of%20America/Guardian%20Life%20Ins.%20Co.%20of%20America.html,,,,,
Liberty Interactive Corporation,libertyinteractive.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Liberty%20Interactive%20Corporation/Liberty%20Interactive%20Corporation.html,,,,,
Norfolk Southern Corporation,nscorp.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Norfolk%20Southern%20Corporation/Norfolk%20Southern%20Corporation.html,,,,,
"Office Depot, Inc.",officedepot.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Office%20Depot,%20Inc./Office%20Depot,%20Inc..html",,,,,
"Ameriprise Financial, Inc.",ameriprise.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Ameriprise%20Financial,%20Inc./Ameriprise%20Financial,%20Inc..html",,,,,
"Gilead Sciences, Inc.",gilead.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Gilead%20Sciences,%20Inc./Gilead%20Sciences,%20Inc..html",,,,,
Centene Corporation,centene.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Centene%20Corporation/Centene%20Corporation.html,,,,,
Leucadia National Corporation,leucadia.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Leucadia%20National%20Corporation/Leucadia%20National%20Corporation.html,,,,,
Huntsman Corporation,huntsman.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Huntsman%20Corporation/Huntsman%20Corporation.html,,,,,
"Health Net, Inc.",healthnet.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Health%20Net,%20Inc./Health%20Net,%20Inc..html",,,,,
"Stanley Black & Decker, Inc.",stanleyblackanddecker.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Stanley%20Black%20&%20Decker,%20Inc./Stanley%20Black%20&%20Decker,%20Inc..html",,,,,
URS Corporation,urs.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/URS%20Corporation/URS%20Corporation.html,,,,,
Xcel Energy Inc.,xcelenergy.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Xcel%20Energy%20Inc./Xcel%20Energy%20Inc..html,,,,,
Bed Bath & Beyond Inc.,bedbathandbeyond.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Bed%20Bath%20&%20Beyond%20Inc./Bed%20Bath%20&%20Beyond%20Inc..html,,,,,
Navistar International Corporation,navistar.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Navistar%20International%20Corporation/Navistar%20International%20Corporation.html,,,,,
Synnex Corporation,synnex.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Synnex%20Corporation/Synnex%20Corporation.html,,,,,
First Data Corporation,firstdata.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/First%20Data%20Corporation/First%20Data%20Corporation.html,,,,,
AGCO Corporation,agcocorp.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/AGCO%20Corporation/AGCO%20Corporation.html,,,,,
"L Brands, Inc.",lb.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/L%20Brands,%20Inc./L%20Brands,%20Inc..html",,,,,
"Hertz Global Holdings, Inc.",hertz.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Hertz%20Global%20Holdings,%20Inc./Hertz%20Global%20Holdings,%20Inc..html",,,,,
CDW Corporation,cdw.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/CDW%20Corporation/CDW%20Corporation.html,,,,,
"CST Brands, Inc.",cstbrands.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/CST%20Brands,%20Inc./CST%20Brands,%20Inc..html",,,,,
Sempra Energy,sempra.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Sempra%20Energy/Sempra%20Energy.html,,,,,
R.R. Donnelley & Sons Company,rrdonnelley.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/R.R.%20Donnelley%20&%20Sons%20Company/R.R.%20Donnelley%20&%20Sons%20Company.html,,,,,
BB&T Corporation,bbt.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/BB&T%20Corporation/BB&T%20Corporation.html,,,,,
Devon Energy Corporation,devonenergy.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Devon%20Energy%20Corporation/Devon%20Energy%20Corporation.html,,,,,
"Family Dollar Stores, Inc.",familydollar.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Family%20Dollar%20Stores,%20Inc./Family%20Dollar%20Stores,%20Inc..html",,,,,
Unum Group,unum.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Unum%20Group/Unum%20Group.html,,,,,
Ally Financial Inc.,ally.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Ally%20Financial%20Inc./Ally%20Financial%20Inc..html,,,,,
"Reinsurance Group of America, Incorporated",rgare.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Reinsurance%20Group%20of%20America,%20Incorporated/Reinsurance%20Group%20of%20America,%20Incorporated.html",,,,,
State Street Corporation,statestreet.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/State%20Street%20Corporation/State%20Street%20Corporation.html,,,,,
"Air Products & Chemicals, Inc.",airproducts.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Air%20Products%20&%20Chemicals,%20Inc./Air%20Products%20&%20Chemicals,%20Inc..html",,,,,
"Ross Stores, Inc.",rossstores.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Ross%20Stores,%20Inc./Ross%20Stores,%20Inc..html",,,,,
The Sherwin-Williams Company,sherwin.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Sherwin-Williams%20Company/The%20Sherwin-Williams%20Company.html,,,,,
