Company,Website,Video,Logo,Major Hex,Minor Hex,First #1,Last #1,Email #1,First #2,Last #2,Email #2,First #3,Last #3,Email #3,"TEMPLATE
",Landing Page URL,,,,,
Citigroup,citigroup.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Citigroup/Citigroup.html,,,,,
Archer Daniels Midland,adm.com,,http://adm.com/_layouts/ADMworld/images/ADMlogo2.jpg,,,,,,,,,,,,,http://forgescan.github.io/web/Archer%20Daniels%20Midland/Archer%20Daniels%20Midland.html,,,,,
AmerisourceBergen,amerisourcebergen.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/AmerisourceBergen/AmerisourceBergen.html,,,,,
Wells Fargo,wellsfargo.com,,https://www01.wellsfargomedia.com/assets/images/global/wf-logo.gif,,,,,,,,,,,,,http://forgescan.github.io/web/Wells%20Fargo/Wells%20Fargo.html,,,,,
Boeing,boeing.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Boeing/Boeing.html,,,,,
Procter & Gamble,pg.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Procter%20&%20Gamble/Procter%20&%20Gamble.html,,,,,
Freddie Mac,freddiemac.com,,http://freddiemac.com/images/site/logo-with-transparency.png,,,,,,,,,,,,,http://forgescan.github.io/web/Freddie%20Mac/Freddie%20Mac.html,,,,,
Home Depot,homedepot.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Home%20Depot/Home%20Depot.html,,,,,
Microsoft,microsoft.com,,http://g-ec2.images-amazon.com/images/G/01/social/api-share/amazon_logo_500500._V323939215_.png,,,,,,,,,,,,,http://forgescan.github.io/web/Microsoft/Microsoft.html,,,,,
Amazon.com,amazon.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Amazon.com/Amazon.com.html,,,,,
Target,target.com,,http://walgreens.com/images/adaptive/share/images/logos/walgreens-logo-desktop.png,,,,,,,,,,,,,http://forgescan.github.io/web/Target/Target.html,,,,,
Walgreen Co.,walgreens.com,,./prodcontrib/fragments/wp-global-css/images/wp_logo.gif,,,,,,,,,,,,,http://forgescan.github.io/web/Walgreen%20Co./Walgreen%20Co..html,,,,,
WellPoint,wellpoint.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/WellPoint/WellPoint.html,,,,,
Johnson & Johnson,jnj.com,,<img src='/Chartis/internet/US/en/logo-tile_tcm3171-439448.gif' title=,,,,,,,,,,,,,http://forgescan.github.io/web/Johnson%20&%20Johnson/Johnson%20&%20Johnson.html,,,,,
American International Group,aig.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/American%20International%20Group/American%20International%20Group.html,,,,,
State Farm Insurance Cos.,statefarm.com,,http://metlife.com/system/css/logo.gif,,,,,,,,,,,,,http://forgescan.github.io/web/State%20Farm%20Insurance%20Cos./State%20Farm%20Insurance%20Cos..html,,,,,
MetLife,metlife.com,,http://pepsico.com/image/logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/MetLife/MetLife.html,,,,,
