Company,Website,Video,Logo,Major Hex,Minor Hex,First #1,Last #1,Email #1,First #2,Last #2,Email #2,First #3,Last #3,Email #3,Landing Page URL,"
"
"The Goldman Sachs Group, Inc.",gs.com,,,,,,,,,,,,,,,
Tesoro Corporation,tsocorp.com,,,,,,,,,,,,,,,
Liberty Mutual Holding Company Inc.,libertymutual.com,,,,,,,,,,,,,,,
Honeywell International Inc.,honeywell.com,,,,,,,,,,,,,,,
"United Continental Holdings, Inc.",unitedcontinentalholdings.com,,,,,,,,,,,,,,,
"HCA Holdings, Inc.",hcahealthcare.com,,,,,,,,,,,,,,,
Deere & Company,deere.com,,,,,,,,,,,,,,,
"Delta Air Lines, Inc.",delta.com,,,,,,,,,,,,,,,
Oracle Corporation,oracle.com,,,,,,,,,,,,,,,
Morgan Stanley,morganstanley.com,,,,,,,,,,,,,,,
Hess Corporation,hess.com,,,,,,,,,,,,,,,
"Twenty-First Century Fox, Inc.",21cf.com,,,,,,,,,,,,,,,
E.I. du Pont de Nemours and Company,dupont.com,,,,,,,,,,,,,,,
Sears Holdings Corporation,searsholdings.com,,,,,,,,,,,,,,,
New York Life Insurance Company,newyorklife.com,,,,,,,,,,,,,,,
"Mondelez International, Inc.",mondelezinternational.com,,,,,,,,,,,,,,,
American Express Company,americanexpress.com,,,,,,,,,,,,,,,
Nationwide Mutual Insurance Co.,nationwide.com,,,,,,,,,,,,,,,
The Allstate Corporation,allstate.com,,,,,,,,,,,,,,,
"Tyson Foods, Inc.",tysonfoods.com,,,,,,,,,,,,,,,
Supervalu Inc.,supervalu.com,,,,,,,,,,,,,,,
TIAA-CREF,tiaa-cref.org,,,,,,,,,,,,,,,
Massachusetts Mutual Life Insurance Company,massmutual.com,,,,,,,,,,,,,,,
CIGNA Corporation,cigna.com,,,,,,,,,,,,,,,
DIRECTV,directv.com,,,,,,,,,,,,,,,
General Dynamics Corporation,generaldynamics.com,,,,,,,,,,,,,,,
Philip Morris International Inc.,pmi.com,,,,,,,,,,,,,,,
3M Company,3m.com,,,,,,,,,,,,,,,
Time Warner Inc.,timewarner.com,,,,,,,,,,,,,,,
Halliburton Company,halliburton.com,,,,,,,,,,,,,,,
"Publix Super Markets, Inc.",publix.com,,,,,,,,,,,,,,,
International Paper Company,internationalpaper.com,,,,,,,,,,,,,,,
McDonald's Corporation,mcdonalds.com,,,,,,,,,,,,,,,
"Macy's, Inc.",macysinc.com,,,,,,,,,,,,,,,
"The TJX Companies, Inc.",tjx.com,,,,,,,,,,,,,,,
Fluor Corporation,fluor.com,,,,,,,,,,,,,,,
"Northwestern Mutual Life Insurance Company,Inc.",northwesternmutual.com,,,,,,,,,,,,,,,
Tech Data Corporation,techdata.com,,,,,,,,,,,,,,,
American Airlines Group Inc.,aa.com,,,,,,,,,,,,,,,
"The Hartford Financial Services Group, Inc.",thehartford.com,,,,,,,,,,,,,,,
"The Travelers Companies, Inc.",travelers.com,,,,,,,,,,,,,,,
"Nike, Inc.",nikeinc.com,,,,,,,,,,,,,,,
Occidental Petroleum Corporation,oxy.com,,,,,,,,,,,,,,,
"Avnet, Inc.",avnet.com,,,,,,,,,,,,,,,
Rite Aid Corporation,riteaid.com,,,,,,,,,,,,,,,
Exelon Corporation,exeloncorp.com,,,,,,,,,,,,,,,
Qualcomm Incorporated,qualcomm.com,,,,,,,,,,,,,,,
Emerson Electric Co.,emerson.com,,,,,,,,,,,,,,,
Northrop Grumman Corporation,northropgrumman.com,,,,,,,,,,,,,,,
Duke Energy Corporation,duke-energy.com,,,,,,,,,,,,,,,
Capital One Financial Corporation,capitalone.com,,,,,,,,,,,,,,,
Aflac Incorporated,aflac.com,,,,,,,,,,,,,,,
Raytheon Company,raytheon.com,,,,,,,,,,,,,,,
"Staples, Inc.",staples.com,,,,,,,,,,,,,,,
EMC Corporation,emc.com,,,,,,,,,,,,,,,
Eli Lilly and Company,lilly.com,,,,,,,,,,,,,,,
Alcoa Inc.,alcoa.com,,,,,,,,,,,,,,,
"National Oilwell Varco, Inc.",nov.com,,,,,,,,,,,,,,,
Baker Hughes Incorporated,bakerhughes.com,,,,,,,,,,,,,,,
"US Foods, Inc.",usfoods.com,,,,,,,,,,,,,,,
Time Warner Cable Inc.,twc.com,,,,,,,,,,,,,,,
Union Pacific Corporation,up.com,,,,,,,,,,,,,,,
Abbott Laboratories,abbott.com,,,,,,,,,,,,,,,
Xerox Corporation,xerox.com,,,,,,,,,,,,,,,
"Arrow Electronics, Inc",arrow.com,,,,,,,,,,,,,,,
Kimberly-Clark Corporation,kimberly-clark.com,,,,,,,,,,,,,,,
U.S. Bancorp,usbank.com,,,,,,,,,,,,,,,
United Services Automobile Association,usaa.com,,,,,,,,,,,,,,,
Freeport-McMoRan Copper & Gold Inc.,fcx.com,,,,,,,,,,,,,,,
Icahn Enterprises L.P.,ielp.com,,,,,,,,,,,,,,,
ManpowerGroup Inc.,manpowergroup.com,,,,,,,,,,,,,,,
HollyFrontier Corporation,hollyfrontier.com,,,,,,,,,,,,,,,
Global Partners LP,globalp.com,,,,,,,,,,,,,,,
The Goodyear Tire & Rubber Company,goodyear.com,,,,,,,,,,,,,,,
PBF Energy Inc.,"www,pbfenergy.com",,,,,,,,,,,,,,,
Danaher Corporation,danaher.com,,,,,,,,,,,,,,,
Nucor Corporation,nucor.com,,,,,,,,,,,,,,,
Kohl's Corporation,kohlscorporation.com,,,,,,,,,,,,,,,
AbbVie Inc.,abbvie.com,,,,,,,,,,,,,,,
Whirlpool Corporation,whirlpoolcorp.com,,,,,,,,,,,,,,,
Amgen Inc.,amgen.com,,,,,,,,,,,,,,,
"Jabil Circuit, Inc.",jabil.com,,,,,,,,,,,,,,,
"Kraft Foods Group, Inc.",kraftfoodsgroup.com,,,,,,,,,,,,,,,
The Progressive Corporation,progressive.com,,,,,,,,,,,,,,,
"CenturyLink, Inc.",centurylink.com,,,,,,,,,,,,,,,
"General Mills, Inc.",generalmills.com,,,,,,,,,,,,,,,
Southwest Airlines Co.,southwest.com,,,,,,,,,,,,,,,
"Altria Group, Inc.",altria.com,,,,,,,,,,,,,,,
"AutoNation, Inc.",autonation.com,,,,,,,,,,,,,,,
Chesapeake Energy Corporation,chk.com,,,,,,,,,,,,,,,
Dollar General Corporation,dollargeneral.com,,,,,,,,,,,,,,,
TRW Automotive Holdings Corp.,trw.com,,,,,,,,,,,,,,,
United States Steel Corporation,ussteel.com,,,,,,,,,,,,,,,
Colgate-Palmolive Company,colgatepalmolive.com,,,,,,,,,,,,,,,
Cummins Inc.,cummins.com,,,,,,,,,,,,,,,
PACCAR Inc,paccar.com,,,,,,,,,,,,,,,
The Southern Company,southerncompany.com,,,,,,,,,,,,,,,
Illinois Tool Works Inc.,itw.com,,,,,,,,,,,,,,,
"The PNC Financial Services Group, Inc.",pnc.com,,,,,,,,,,,,,,,
"Medtronic, Inc.",medtronic.com,,,,,,,,,,,,,,,
The AES Corporation,aes.com,,,,,,,,,,,,,,,
Murphy USA Inc.,corporate.murphyusa.com,,,,,,,,,,,,,,,
Bristol-Myers Squibb Company,bms.com,,,,,,,,,,,,,,,
Lear Corporation,lear.com,,,,,,,,,,,,,,,
"The Gap, Inc.",gapinc.com,,,,,,,,,,,,,,,
Apache Corporation,apachecorp.com,,,,,,,,,,,,,,,
eBay Inc.,ebayinc.com,,,,,,,,,,,,,,,
The Bank of New York Mellon Corporation,bnymellon.com,,,,,,,,,,,,,,,
CBS Corporation,cbscorporation.com,,,,,,,,,,,,,,,
PG&E Corporation,pge.com,,,,,,,,,,,,,,,
"ConAgra Foods, Inc.",conagrafoods.com,,,,,,,,,,,,,,,
Computer Sciences Corporation,csc.com,,,,,,,,,,,,,,,
"American Electric Power Company, Inc.",aep.com,,,,,,,,,,,,,,,
Western Digital Corporation,westerndigital.com,,,,,,,,,,,,,,,
Marathon Oil Corporation,marathonoil.com,,,,,,,,,,,,,,,
Baxter International Inc.,baxter.com,,,,,,,,,,,,,,,
"PPG Industries, Inc.",ppg.com,,,,,,,,,,,,,,,
"NextEra Energy, Inc.",nexteraenergy.com,,,,,,,,,,,,,,,
"Community Health Systems, Inc.",chs.net,,,,,,,,,,,,,,,
Loews Corporation,loews.com,,,,,,,,,,,,,,,
"Penske Automotive Group, Inc.",penskeautomotive.com,,,,,,,,,,,,,,,
FirstEnergy Corp.,firstenergycorp.com,,,,,,,,,,,,,,,
Starbucks Corporation,starbucks.com,,,,,,,,,,,,,,,
Monsanto Company,monsanto.com,,,,,,,,,,,,,,,
Kellogg Company,kelloggcompany.com,,,,,,,,,,,,,,,
"Land O'Lakes, Inc.",landolakesinc.com,,,,,,,,,,,,,,,
"ONEOK, Inc.",oneok.com,,,,,,,,,,,,,,,
Omnicom Group Inc.,omnicomgroup.com,,,,,,,,,,,,,,,
Anadarko Petroleum Corporation,anadarko.com,,,,,,,,,,,,,,,
"EOG Resources, Inc.",eogresources.com,,,,,,,,,,,,,,,
DISH Network Corporation,dish.com,,,,,,,,,,,,,,,
Genuine Parts Company,genpt.com,,,,,,,,,,,,,,,
"Kinder Morgan, Inc.",kindermorgan.com,,,,,,,,,,,,,,,
"Waste Management, Inc.",wm.com,,,,,,,,,,,,,,,
The Chubb Corporation,chubb.com,,,,,,,,,,,,,,,
Aramark Holdings Corporation,aramark.com,,,,,,,,,,,,,,,
Viacom Inc.,viacom.com,,,,,,,,,,,,,,,
Las Vegas Sands Corp.,sands.com,,,,,,,,,,,,,,,
"Dominion Resources, Inc.",dom.com,,,,,,,,,,,,,,,
Ecolab Inc.,ecolab.com,,,,,,,,,,,,,,,
"Smithfield Foods, Inc.",smithfieldfoods.com,,,,,,,,,,,,,,,
Thermo Fisher Scientific Inc.,thermofisher.com,,,,,,,,,,,,,,,
"Yum! Brands, Inc.",yum.com,,,,,,,,,,,,,,,
Parker-Hannifin Corporation,parker.com,,,,,,,,,,,,,,,
"Whole Foods Market, Inc.",wholefoodsmarket.com,,,,,,,,,,,,,,,
"Marriott International, Inc.",marriott.com,,,,,,,,,,,,,,,
"C. H. Robinson Worldwide, Inc.",chrobinson.com,,,,,,,,,,,,,,,
"L-3 Communications Holdings, Inc.",l-3com.com,,,,,,,,,,,,,,,
Edison International,edisoninvestor.com,,,,,,,,,,,,,,,
"Toys ""R"" Us, Inc.",toysrusinc.com,,,,,,,,,,,,,,,
"Nordstrom, Inc.",nordstrom.com,,,,,,,,,,,,,,,
"Consolidated Edison, Inc.",conedison.com,,,,,,,,,,,,,,,
"Marsh & McLennan Companies, Inc.",mmc.com,,,,,,,,,,,,,,,
Texas Instruments Incorporated,ti.com,,,,,,,,,,,,,,,
Textron Inc.,textron.com,,,,,,,,,,,,,,,
Tenet Healthcare Corporation,tenethealth.com,,,,,,,,,,,,,,,
DaVita HealthCare Partners Inc.,davita.com,,,,,,,,,,,,,,,
CSX Corporation,csx.com,,,,,,,,,,,,,,,
Lincoln National Corporation,lfg.com,,,,,,,,,,,,,,,
"Praxair, Inc.",praxair.com,,,,,,,,,,,,,,,
PPL Corporation,pplweb.com,,,,,,,,,,,,,,,
"J.C. Penney Company, Inc.",jcpenney.com,,,,,,,,,,,,,,,
"Peter Kiewit Sons', Inc.",kiewit.com,,,,,,,,,,,,,,,
Jacobs Engineering Group Inc.,jacobs.com,,,,,,,,,,,,,,,
Visa Inc.,corporate.visa.com,,,,,,,,,,,,,,,
H.J. Heinz Company,heinz.com,,,,,,,,,,,,,,,
"CarMax, Inc.",carmax.com,,,,,,,,,,,,,,,
V.F. Corporation,vfc.com,,,,,,,,,,,,,,,
Entergy Corporation,entergy.com,,,,,,,,,,,,,,,
"Automatic Data Processing, Inc.",adp.com,,,,,,,,,,,,,,,
"NRG Energy, Inc.",nrgenergy.com,,,,,,,,,,,,,,,
Guardian Life Ins. Co. of America,guardianlife.com,,,,,,,,,,,,,,,
Liberty Interactive Corporation,libertyinteractive.com,,,,,,,,,,,,,,,
Norfolk Southern Corporation,nscorp.com,,,,,,,,,,,,,,,
"Office Depot, Inc.",officedepot.com,,,,,,,,,,,,,,,
"Ameriprise Financial, Inc.",ameriprise.com,,,,,,,,,,,,,,,
"Gilead Sciences, Inc.",gilead.com,,,,,,,,,,,,,,,
Centene Corporation,centene.com,,,,,,,,,,,,,,,
Leucadia National Corporation,leucadia.com,,,,,,,,,,,,,,,
Huntsman Corporation,huntsman.com,,,,,,,,,,,,,,,
"Health Net, Inc.",healthnet.com,,,,,,,,,,,,,,,
"Stanley Black & Decker, Inc.",stanleyblackanddecker.com,,,,,,,,,,,,,,,
URS Corporation,urs.com,,,,,,,,,,,,,,,
Xcel Energy Inc.,xcelenergy.com,,,,,,,,,,,,,,,
Bed Bath & Beyond Inc.,bedbathandbeyond.com,,,,,,,,,,,,,,,
Navistar International Corporation,navistar.com,,,,,,,,,,,,,,,
Synnex Corporation,synnex.com,,,,,,,,,,,,,,,
First Data Corporation,firstdata.com,,,,,,,,,,,,,,,
