Company,Website,Video,Logo,Major Hex,Minor Hex,First #1,Last #1,Email #1,First #2,Last #2,Email #2,First #3,Last #3,Email #3,Landing Page URL,"
"
"The Williams Companies, Inc.",williams.com,,,,,,,,,,,,,,,
"Barnes & Noble, Inc.",barnesandnobleinc.com,,,,,,,,,,,,,,,
"Huntington Ingalls Industries, Inc.",huntingtoningalls.com,,,,,,,,,,,,,,,
The Priceline Group Inc.,pricelinegroup.com,,,,,,,,,,,,,,,
"Agilent Technologies, Inc.",agilent.com,,,,,,,,,,,,,,,
Dana Holding Corporation,dana.com,,,,,,,,,,,,,,,
"Dillard's, Inc.",dillards.com,,,,,,,,,,,,,,,
Seaboard Corporation,seaboardcorp.com,,,,,,,,,,,,,,,
"Vanguard Health Systems, Inc.",tenethealth.com,,,,,,,,,,,,,,,
"Casey's General Stores, Inc.",caseys.com,,,,,,,,,,,,,,,
"O'Reilly Automotive, Inc.",oreillyauto.com,,,,,,,,,,,,,,,
The Blackstone Group L.P.,blackstone.com,,,,,,,,,,,,,,,
Mutual of Omaha Insurance Company,mutualofomaha.com,,,,,,,,,,,,,,,
"Molina Healthcare, Inc.",molinahealthcare.com,,,,,,,,,,,,,,,
CMS Energy Corporation,cmsenergy.com,,,,,,,,,,,,,,,
Targa Resources Corp.,targaresources.com,,,,,,,,,,,,,,,
"Quanta Services, Inc.",quantaservices.com,,,,,,,,,,,,,,,
Cablevision Systems Corporation,cablevision.com,,,,,,,,,,,,,,,
Avery Dennison Corporation,averydennison.com,,,,,,,,,,,,,,,
Celanese Corporation,celanese.com,,,,,,,,,,,,,,,
"Foot Locker, Inc.",footlocker-inc.com,,,,,,,,,,,,,,,
Celgene Corporation,celgene.com,,,,,,,,,,,,,,,
"Advance Auto Parts, Inc.",advanceautoparts.com,,,,,,,,,,,,,,,
"Mattel, Inc.",mattel.com,,,,,,,,,,,,,,,
"Live Nation Entertainment, Inc.",livenation.com,,,,,,,,,,,,,,,
General Cable Corporation,generalcable.com,,,,,,,,,,,,,,,
"Ryder System, Inc.",ryder.com,,,,,,,,,,,,,,,
"EMCOR Group, Inc.",emcorgroup.com,,,,,,,,,,,,,,,
"Allergan, Inc.",allergan.com,,,,,,,,,,,,,,,
W.R. Berkley Corporation,wrberkley.com,,,,,,,,,,,,,,,
"Rockwell Automation, Inc.",rockwellautomation.com,,,,,,,,,,,,,,,
"NetApp, Inc.",netapp.com,,,,,,,,,,,,,,,
Ingredion Incorporated,ingredion.com,,,,,,,,,,,,,,,
"Level 3 Communications, Inc.",level3.com,,,,,,,,,,,,,,,
Calpine Corporation,calpine.com,,,,,,,,,,,,,,,
"Omnicare, Inc.",omnicare.com,,,,,,,,,,,,,,,
Erie Insurance Group,erieinsurance.com,,,,,,,,,,,,,,,
SLM Corporation,salliemae.com,,,,,,,,,,,,,,,
"D.R. Horton, Inc.",drhorton.com,,,,,,,,,,,,,,,
"CC Media Holdings, Inc.",clearchannel.com,,,,,,,,,,,,,,,
Anixter International Inc.,anixter.com,,,,,,,,,,,,,,,
"Dick's Sporting Goods, Inc.",dickssportinggoods.com,,,,,,,,,,,,,,,
SanDisk Corporation,sandisk.com,,,,,,,,,,,,,,,
NCR Corporation,ncr.com,,,,,,,,,,,,,,,
"Starwood Hotels & Resorts Worldwide, Inc.",starwoodhotels.com,,,,,,,,,,,,,,,
"Expeditors International of Washington, Inc.",expeditors.com,,,,,,,,,,,,,,,
"Fidelity National Information Services, Inc.",fisglobal.com,,,,,,,,,,,,,,,
"United Natural Foods, Inc.",unfi.com,,,,,,,,,,,,,,,
Auto-Owners Insurance Group,auto-owners.com,,,,,,,,,,,,,,,
"Windstream Holdings, Inc.",windstream.com,,,,,,,,,,,,,,,
"Dr Pepper Snapple Group, Inc.",drpeppersnapplegroup.com,,,,,,,,,,,,,,,
Lennar Corporation,lennar.com,,,,,,,,,,,,,,,
Sanmina,sanmina.com,,,,,,,,,,,,,,,
"Harley-Davidson, Inc.",harley-davidson.com,,,,,,,,,,,,,,,
CONSOL Energy Inc.,consolenergy.com,,,,,,,,,,,,,,,
The J.M. Smucker Company,smucker.com,,,,,,,,,,,,,,,
Newell Rubbermaid Inc.,newellrubbermaid.com,,,,,,,,,,,,,,,
"CH2M HILL Companies, Ltd.",ch2m.com,,,,,,,,,,,,,,,
Energy Future Holdings Corp.,energyfutureholdings.com,,,,,,,,,,,,,,,
Susser Holdings Corporation,susser.com,,,,,,,,,,,,,,,
Laboratory Corporation of America Holdings,labcorp.com,,,,,,,,,,,,,,,
"Kindred Healthcare, Inc.",kindredhealthcare.com,,,,,,,,,,,,,,,
Leidos Holdings Inc.,leidos.com,,,,,,,,,,,,,,,
Booz Allen Hamilton Holding Corp.,boozallen.com,,,,,,,,,,,,,,,
"The Jones Financial Companies,L.L.L.P.",edwardjones.com,,,,,,,,,,,,,,,
Cliffs Natural Resources Inc.,cliffsnaturalresources.com,,,,,,,,,,,,,,,
"PulteGroup, Inc.",pultegroupinc.com,,,,,,,,,,,,,,,
Regions Financial Corporation,regions.com,,,,,,,,,,,,,,,
NiSource Inc.,nisource.com,,,,,,,,,,,,,,,
"Graybar Electric Company, Inc.",graybar.com,,,,,,,,,,,,,,,
"Integrys Energy Group, Inc.",integrysgroup.com,,,,,,,,,,,,,,,
The Clorox Company,thecloroxcompany.com,,,,,,,,,,,,,,,
"Wynn Resorts, Limited",wynnresorts.com,,,,,,,,,,,,,,,
"The Andersons, Inc.",andersonsinc.com,,,,,,,,,,,,,,,
"J.B. Hunt Transport Services, Inc.",jbhunt.com,,,,,,,,,,,,,,,
AK Steel Holding Corporation,aksteel.com,,,,,,,,,,,,,,,
Harbinger Group Inc.,harbingergroupinc.com,,,,,,,,,,,,,,,
MeadWestvaco Corporation,mwv.com,,,,,,,,,,,,,,,
The Western Union Company,westernunion.com,,,,,,,,,,,,,,,
The Charles Schwab Corporation,aboutschwab.com,,,,,,,,,,,,,,,
"Discovery Communications, Inc.",discoverycommunications.com,,,,,,,,,,,,,,,
Spectra Energy Corp,spectraenergy.com,,,,,,,,,,,,,,,
"St. Jude Medical, Inc.",sjm.com,,,,,,,,,,,,,,,
"CF Industries Holdings, Inc.",cfindustries.com,,,,,,,,,,,,,,,
Con-way Inc.,con-way.com,,,,,,,,,,,,,,,
Old Republic International Corporation,oldrepublic.com,,,,,,,,,,,,,,,
JetBlue Airways Corporation,jetblue.com,,,,,,,,,,,,,,,
"Calumet Specialty Products Partners, L.P.",calumetspecialty.com,,,,,,,,,,,,,,,
"Kelly Services, Inc.",kellyservices.com,,,,,,,,,,,,,,,
Domtar Corporation,domtar.com,,,,,,,,,,,,,,,
Murphy Oil Corporation,murphyoilcorp.com,,,,,,,,,,,,,,,
Harris Corporation,harris.com,,,,,,,,,,,,,,,
"Asbury Automotive Group, Inc.",asburyauto.com,,,,,,,,,,,,,,,
"Big Lots, Inc.",biglots.com,,,,,,,,,,,,,,,
"Advanced Micro Devices, Inc.",amd.com,,,,,,,,,,,,,,,
Owens Corning,owenscorning.com,,,,,,,,,,,,,,,
Realogy Holdings Corp.,realogy.com,,,,,,,,,,,,,,,
"Host Hotels & Resorts, Inc.",hosthotels.com,,,,,,,,,,,,,,,
MRC Global Inc.,mrcglobal.com,,,,,,,,,,,,,,,
"Simon Property Group, Inc.",simon.com,,,,,,,,,,,,,,,
Tractor Supply Company,tractorsupply.com,,,,,,,,,,,,,,,
"Gannett Co., Inc.",gannett.com,,,,,,,,,,,,,,,
"Alaska Air Group, Inc.",alaskaair.com,,,,,,,,,,,,,,,
"Insight Enterprises, Inc.",insight.com,,,,,,,,,,,,,,,
"McGraw Hill Financial, Inc.",mhfi.com,,,,,,,,,,,,,,,
"Buckeye Partners, L.P.",buckeye.com,,,,,,,,,,,,,,,
Quintiles Transnational Holdings Inc.,quintiles.com,,,,,,,,,,,,,,,
"American Financial Group, Inc.",afginc.com,,,,,,,,,,,,,,,
United Stationers Inc.,unitedstationers.com,,,,,,,,,,,,,,,
"Coach, Inc.",coach.com,,,,,,,,,,,,,,,
LKQ Corporation,lkqcorp.com,,,,,,,,,,,,,,,
"Noble Energy, Inc.",nobleenergyinc.com,,,,,,,,,,,,,,,
"Bemis Company, Inc.",bemis.com,,,,,,,,,,,,,,,
Joy Global Inc.,joyglobal.com,,,,,,,,,,,,,,,
Wyndham Worldwide Corporation,wyndhamworldwide.com,,,,,,,,,,,,,,,
"NII Holdings, Inc.",nii.com,,,,,,,,,,,,,,,
"Lorillard, Inc.",lorillard.com,,,,,,,,,,,,,,,
Alleghany Corporation,alleghany.com,,,,,,,,,,,,,,,
"Airgas, Inc.",airgas.com,,,,,,,,,,,,,,,
First American Financial Corporation,firstam.com,,,,,,,,,,,,,,,
"United Rentals, Inc.",ur.com,,,,,,,,,,,,,,,
